item_id,item_name,category,veg_flag,price,combo_group,substitute_group
2234,Wonton Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2235,Lung Fung Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2236,Hunan Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2237,Lime Coriander Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2238,Garlic Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2239,Sweet Corn Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2240,Noodles Chicken Soup,Chinese,Non-Veg,150.0,chinese,chinese
2241,Cream Of Chicken,Chinese,Non-Veg,150.0,chinese,chinese
2242,Mutton Shorba,Sides,Non-Veg,150.0,sides,sides
2243,Bagani Subziwala Shorba,Sides,Non-Veg,150.0,sides,sides
2244,Chicken Shorba,Sides,Non-Veg,150.0,sides,sides
2245,Tomato Shorba,Sides,Non-Veg,150.0,sides,sides
2246,Hariyali Aloo Tikka,Starter,Veg,150.0,starter,starter
2247,Peri Peri Paneer Tikka,Curry,Veg,150.0,curry,curry
2248,Tandoori Aloo Hariyali,Sides,Veg,150.0,sides,sides
2249,Multani Paneer Tikka,Curry,Veg,150.0,curry,curry
2250,Basil Potato Paneer Tikka,Curry,Veg,150.0,curry,curry
2251,Papdi Cheese Paneer Tikka,Curry,Veg,150.0,curry,curry
2252,Angara Paneer Tikka,Curry,Veg,150.0,curry,curry
2253,Assorted Paneer Tikka,Curry,Veg,150.0,curry,curry
2254,Kabuli Paneer Tikka,Curry,Veg,150.0,curry,curry
2255,Corn Malai Kebab,Starter,Veg,150.0,starter,starter
2256,Tandoori Aloo (nazakat),Sides,Veg,150.0,sides,sides
2257,Bhutte Mutter Ki Seekh Kebab,Starter,Veg,150.0,starter,starter
2258,Veg Galoti Kebab,Starter,Veg,150.0,starter,starter
2259,Veg Galafi Seekh,Sides,Veg,150.0,sides,sides
2260,Pahari Seekh Kebab,Starter,Veg,150.0,starter,starter
2261,Shahi Seekh Kebab,Starter,Veg,150.0,starter,starter
2262,Corn Seekh Kebab,Starter,Veg,150.0,starter,starter
2263,Dahi Kebab,Starter,Veg,150.0,starter,starter
2264,Hara Bhara Kebab,Starter,Veg,150.0,starter,starter
2265,Veg Seekh Kebab,Starter,Veg,150.0,starter,starter
2266,Achari Veg Seekh Kebab,Starter,Veg,150.0,starter,starter
2267,Aloo Chutneywala,Sides,Veg,150.0,sides,sides
2268,Cocktail Kebab,Starter,Veg,150.0,starter,starter
2269,Tandoori Phool,Sides,Veg,150.0,sides,sides
2270,Mustard Potato,Sides,Veg,150.0,sides,sides
2271,Achari Mushroom,Sides,Veg,150.0,sides,sides
2272,Bharwan Mushroom,Sides,Veg,150.0,sides,sides
2273,Tandoori Pineapple,Sides,Veg,150.0,sides,sides
2274,Tandoori Shashlik,Sides,Veg,150.0,sides,sides
2275,Tandoori Broccoli,Sides,Veg,150.0,sides,sides
2276,Soya Chaap,Sides,Veg,150.0,sides,sides
2277,Malai Broccoli,Sides,Veg,150.0,sides,sides
2278,Hariyali Soya Chaap,Sides,Veg,150.0,sides,sides
2279,Malai Soya Chaap,Sides,Veg,150.0,sides,sides
2280,Achari Soya Chaap,Sides,Veg,150.0,sides,sides
2281,Tandoori Khazana Veg,Sides,Veg,150.0,sides,sides
2282,Achari Paneer Tikka,Curry,Veg,150.0,curry,curry
2283,Badami Paneer Tikka,Curry,Veg,150.0,curry,curry
2284,Tiranga Paneer Tikka,Curry,Veg,150.0,curry,curry
2285,Hariyali Paneer Tikka,Curry,Veg,150.0,curry,curry
2286,Royal Mix Paneer Tikka,Curry,Veg,150.0,curry,curry
2287,Cheese Paneer Tikka,Curry,Veg,150.0,curry,curry
2288,Parsi Bharwan Paneer Tikka,Curry,Veg,150.0,curry,curry
2289,Mustard Paneer Tikka,Curry,Veg,150.0,curry,curry
